page,level,psm,cer,n_ref_chars
page_0400,column,4,0.3749,1539
page_0400,column,6,0.4997,1539
page_0400,page,3,0.3769,1539
page_0400,page,1,0.3769,1539
page_0499,column,4,0.2160,2996
page_0499,column,6,0.0701,2996
page_0499,page,3,0.1245,2996
page_0499,page,1,0.1245,2996
page_0251,column,4,0.3090,1317
page_0251,column,6,0.3576,1317
page_0251,page,3,0.3979,1317
page_0251,page,1,0.3979,1317
page_0550,column,4,14.0829,193
page_0550,column,6,13.9067,193
page_0550,page,3,10.1917,193
page_0550,page,1,10.1917,193
