page,model,mode,n,cer_baseline,cer_corrected,abs_reduction,rel_reduction,made_worse,broke_correct,n_changed,parse_ok,paraphrase_flag,cost_page,cost_1000
page_0251,claude-opus-4-8,minimal-edit,58,0.0031746031746031746,0.0007936507936507937,0.002380952380952381,0.7500000000000001,1,1,3,True,False,0.02539,25.39
page_0251,gemini-3.1-pro,minimal-edit,58,0.0031746031746031746,0.0031746031746031746,0.0,0.0,0,0,1,True,False,0.003502,3.502
page_0251,gpt-5.5,minimal-edit,58,0.0031746031746031746,0.005555555555555556,-0.002380952380952381,-0.7500000000000001,3,3,5,True,False,0.01222375,12.22375
page_0251,claude-opus-4-8,rewrite,58,0.0031746031746031746,0.0007936507936507937,0.002380952380952381,0.7500000000000001,1,1,3,True,False,0.046875,46.875
page_0251,claude-sonnet-4-6,rewrite,58,0.0031746031746031746,0.0031746031746031746,0.0,0.0,0,0,0,False,False,0.124785,124.785
page_0251,gemini-3.1-pro,rewrite,58,0.0031746031746031746,0.0007936507936507937,0.002380952380952381,0.7500000000000001,0,0,2,True,False,0.01651,16.51
page_0251,gpt-5.5,rewrite,58,0.0031746031746031746,0.0007936507936507937,0.002380952380952381,0.7500000000000001,1,1,3,True,False,0.02173125,21.73125
page_0400,claude-opus-4-8,minimal-edit,71,0.010211027910142955,0.0040844111640571815,0.0061266167460857736,0.6000000000000001,1,0,10,True,False,0.061095,61.095
page_0400,claude-sonnet-4-6,minimal-edit,71,0.010211027910142955,0.010211027910142955,0.0,0.0,0,0,0,False,False,0.245439,245.439
page_0400,gemini-3.1-pro,minimal-edit,71,0.010211027910142955,0.0040844111640571815,0.0061266167460857736,0.6000000000000001,0,0,9,True,False,0.006512,6.5120000000000005
page_0400,gpt-5.5,minimal-edit,71,0.010211027910142955,0.0040844111640571815,0.0061266167460857736,0.6000000000000001,1,1,10,True,False,0.01258375,12.58375
page_0400,claude-opus-4-8,rewrite,71,0.010211027910142955,0.002722940776038121,0.007488087134104834,0.7333333333333334,1,1,11,True,False,0.154105,154.105
page_0400,claude-sonnet-4-6,rewrite,71,0.010211027910142955,0.010211027910142955,0.0,0.0,0,0,0,False,False,0.245358,245.358
page_0400,gemini-3.1-pro,rewrite,71,0.010211027910142955,0.0034036759700476512,0.006807351940095303,0.6666666666666666,0,0,9,True,False,0.019015999999999998,19.016
page_0400,gpt-5.5,rewrite,71,0.010211027910142955,0.0040844111640571815,0.0061266167460857736,0.6000000000000001,2,2,11,True,False,0.02375125,23.751250000000002
page_0499,claude-opus-4-8,minimal-edit,92,0.0037865748709122204,0.002753872633390706,0.0010327022375215145,0.2727272727272727,2,2,7,True,False,0.075255,75.255
page_0499,gemini-3.1-pro,minimal-edit,92,0.0037865748709122204,0.0024096385542168677,0.0013769363166953527,0.3636363636363636,0,0,4,True,False,0.0069299999999999995,6.93
page_0499,gpt-5.5,minimal-edit,92,0.0037865748709122204,0.005507745266781412,-0.0017211703958691913,-0.4545454545454546,6,6,10,True,False,0.0194125,19.412499999999998
page_0499,claude-opus-4-8,rewrite,92,0.0037865748709122204,0.004819277108433735,-0.001032702237521515,-0.2727272727272728,8,8,13,True,False,0.22819,228.19
page_0499,claude-sonnet-4-6,rewrite,92,0.0037865748709122204,0.0037865748709122204,0.0,0.0,0,0,0,False,False,0.129879,129.879
page_0499,gemini-3.1-pro,rewrite,92,0.0037865748709122204,0.0024096385542168677,0.0013769363166953527,0.3636363636363636,0,0,4,True,False,0.03573,35.73
page_0499,gpt-5.5,rewrite,92,0.0037865748709122204,0.018244406196213425,-0.014457831325301205,-3.8181818181818183,16,15,20,True,False,0.03617,36.17
