stage,model,budget,page,cer_baseline,cer_corrected,abs_reduction,made_worse,src_lines,out_lines,n,latency_s,thoughts,out_tok,cost,error
correct,gemini-3.1-pro,dynamic,page_0400_human,0.0456,0.0436,0.002,0,,,71,39.9,5739,74,0.00441,
correct,gemini-3.1-pro,dynamic,page_0451_human,0.0193,0.018,0.0013,0,,,68,39.8,5343,53,0.00411,
correct,gemini-3.1-pro,dynamic,page_0499_human,0.0251,0.0186,0.0065,0,,,92,99.5,15127,339,0.00992,
correct,gemini-3.1-pro,2048,page_0400_human,0.0456,0.0449,0.0007,0,,,71,21.8,3047,32,0.0039,
correct,gemini-3.1-pro,2048,page_0451_human,0.0193,0.018,0.0013,0,,,68,13.5,1564,53,0.00411,
correct,gemini-3.1-pro,2048,page_0499_human,0.0251,0.0186,0.0065,0,,,92,22.7,2812,324,0.00974,
correct,gemini-3.1-pro,512,page_0400_human,0.0456,0.0449,0.0007,0,,,71,8.8,953,32,0.0039,
correct,gemini-3.1-pro,512,page_0451_human,0.0193,0.018,0.0013,0,,,68,7.7,790,52,0.0041,
correct,gemini-3.1-pro,512,page_0499_human,0.0251,0.0203,0.0048,0,,,92,13.1,1394,283,0.00925,
correct,gemini-3.1-pro,128,page_0400_human,0.0456,0.0449,0.0007,0,,,71,8.6,969,32,0.0039,
correct,gemini-3.1-pro,128,page_0451_human,0.0193,0.018,0.0013,0,,,68,8.6,938,48,0.00405,
correct,gemini-3.1-pro,128,page_0499_human,0.0251,0.0213,0.0038,0,,,92,16.5,2088,238,0.00871,
correct,gemini-3.5-flash,dynamic,page_0400_human,0.0456,0.0449,0.0007,0,,,71,25.3,5722,16,0.00057,
correct,gemini-3.5-flash,dynamic,page_0451_human,0.0193,0.0173,0.002,0,,,68,26.9,5866,93,0.00075,
correct,gemini-3.5-flash,dynamic,page_0499_human,0.0251,0.0196,0.0055,0,,,92,60.2,13649,274,0.00156,
correct,gemini-3.5-flash,512,page_0400_human,0.0456,0.0327,0.0129,0,,,71,1.4,0,146,0.00089,
correct,gemini-3.5-flash,512,page_0451_human,0.0193,0.01,0.0093,1,,,68,1.6,0,219,0.00107,
correct,gemini-3.5-flash,512,page_0499_human,0.0251,0.0379,-0.0127,7,,,92,2.4,0,421,0.00193,
correct,gemini-3.5-flash,0,page_0400_human,0.0456,0.015,0.0306,0,,,71,1.9,0,309,0.0013,
correct,gemini-3.5-flash,0,page_0451_human,0.0193,0.01,0.0093,0,,,68,1.5,0,189,0.00099,
correct,gemini-3.5-flash,0,page_0499_human,0.0251,0.0454,-0.0203,4,,,92,2.6,0,413,0.00191,
translate,gemini-3.1-pro,dynamic,page_0400_human,,,,,71,71,,82.8,13007,534,0.00953,
translate,gemini-3.1-pro,2048,page_0400_human,,,,,71,30,,26.2,3549,472,0.00878,
translate,gemini-3.1-pro,512,page_0400_human,,,,,71,30,,16.9,2169,466,0.00871,
translate,gemini-3.1-pro,128,page_0400_human,,,,,71,71,,20.9,2704,512,0.00926,
translate,gemini-3.5-flash,dynamic,page_0400_human,,,,,71,30,,34.6,8228,516,0.00176,
translate,gemini-3.5-flash,512,page_0400_human,,,,,71,30,,4.5,0,836,0.00256,
translate,gemini-3.5-flash,0,page_0400_human,,,,,71,43,,4.2,0,775,0.00241,
translate,gemini-3.1-pro,dynamic,page_0474_auto,,,,,92,64,,69.2,13097,1298,0.02094,
translate,gemini-3.1-pro,2048,page_0474_auto,,,,,92,92,,62.5,8086,1746,0.02631,
translate,gemini-3.1-pro,512,page_0474_auto,,,,,92,14,,9.1,0,1207,0.01985,
translate,gemini-3.1-pro,128,page_0474_auto,,,,,92,14,,12.4,0,1472,0.02303,
translate,gemini-3.5-flash,dynamic,page_0474_auto,,,,,92,28,,64.3,15359,637,0.0024,
translate,gemini-3.5-flash,512,page_0474_auto,,,,,92,75,,9.6,0,1913,0.00559,
translate,gemini-3.5-flash,0,page_0474_auto,,,,,92,69,,7.3,0,1413,0.00434,
